record_id,longitude,latitude,speed,heading,navigation_status,mmsi,ship_type,ship_name,timestamp,decode_timestamp,data_timestamp,day_id,date,unixstamp
z0H9KjatQwS8AbwbMhzc4A,113.01150512695312,22.812650680541992,3.9,511,,413837924,,,2024-07-30 14:19:03.203,2024-07-30 14:19:03.220,00:00:00,20240730,2024-07-30,1722320343.203
vHfyyjbHQf6Jon0tu0_Qug,113.01166534423828,22.812580108642578,3.9,511,,413837924,,,2024-07-30 14:18:53.730,2024-07-30 14:18:53.763,00:00:00,20240730,2024-07-30,1722320333.73
cQkJa_J8Q3-d-dExt7KJ2g,113.01185607910156,22.8125057220459,3.9,511,,413837924,,,2024-07-30 14:18:44.201,2024-07-30 14:18:44.263,00:00:00,20240730,2024-07-30,1722320324.201
qP5qI90qSxudylSJ2ex-7w,110.74168395996094,23.466373443603516,0.0,511,,413859423,,,2024-07-30 14:18:40.213,2024-07-30 14:18:40.225,00:00:00,20240730,2024-07-30,1722320320.213
N--x0Wd9T2q08Mph8dyjog,112.72117614746094,22.377704620361328,0.0,511,,413837923,,,2024-07-30 14:18:35.340,2024-07-30 14:18:35.369,00:00:00,20240730,2024-07-30,1722320315.34
pX8FXJz5S_GDUHL6OZyDlA,113.01202392578125,22.812437057495117,3.9,511,,413837924,,,2024-07-30 14:18:34.841,2024-07-30 14:18:34.873,00:00:00,20240730,2024-07-30,1722320314.841
6bJeJ9z8S2mNG3RJYk8TfA,110.90068054199219,23.380552291870117,0.0,511,,413867644,,,2024-07-30 14:18:30.733,2024-07-30 14:18:30.742,00:00:00,20240730,2024-07-30,1722320310.733
-CwOAr3wRXaTHRe3cf3Uuw,113.0121841430664,22.812374114990234,3.9,511,,413837924,,,2024-07-30 14:18:25.398,2024-07-30 14:18:25.412,00:00:00,20240730,2024-07-30,1722320305.398
lQDlSCpqTlqhRjQU6ovdFg,113.01235961914062,22.81231117248535,3.9,511,,413837924,,,2024-07-30 14:18:23.386,2024-07-30 14:18:23.427,00:00:00,20240730,2024-07-30,1722320303.386
BCOE2MysQNOy5--Tl8kL8A,112.72116088867188,22.377872467041016,0.0,511,,413837927,,,2024-07-30 14:18:11.185,2024-07-30 14:18:11.208,00:00:00,20240730,2024-07-30,1722320291.185
lAYm1ochT5qpHKcS9d0dHg,113.01253509521484,22.812255859375,3.9,511,,413837924,,,2024-07-30 14:18:07.567,2024-07-30 14:18:07.581,00:00:00,20240730,2024-07-30,1722320287.567
uAaw7yx6Rh-mg123p-VVsA,113.0127182006836,22.812198638916016,3.9,511,,413837924,,,2024-07-30 14:18:01.677,2024-07-30 14:18:01.697,00:00:00,20240730,2024-07-30,1722320281.677
iC6eV_kGTDK3kO2HFc2-Ew,113.01287841796875,22.812150955200195,3.9,511,,413837924,,,2024-07-30 14:17:48.606,2024-07-30 14:17:48.649,00:00:00,20240730,2024-07-30,1722320268.606
sINp7eNPReO1gq9fRMtvJw,113.01306915283203,22.812105178833008,3.9,511,,413837924,,,2024-07-30 14:17:39.048,2024-07-30 14:17:39.055,00:00:00,20240730,2024-07-30,1722320259.048
lmWogCjVS6WvgVJsGIoIVg,111.14920043945312,23.43149757385254,0.0,511,,413860512,,,2024-07-30 14:17:37.389,2024-07-30 14:17:37.416,00:00:00,20240730,2024-07-30,1722320257.389
Tt19PSosR3ahFnjSR54wwg,110.74172973632812,23.466251373291016,0.0,511,,413848169,,,2024-07-30 14:17:31.435,2024-07-30 14:17:31.457,00:00:00,20240730,2024-07-30,1722320251.435
sSD9YgIWRFKBkkpsfKtIkA,113.01323699951172,22.812063217163086,3.9,511,,413837924,,,2024-07-30 14:17:29.688,2024-07-30 14:17:29.746,00:00:00,20240730,2024-07-30,1722320249.688
rmkCDTiNTeqUz_3SVcXy2Q,113.01360321044922,22.811983108520508,3.9,511,,413837924,,,2024-07-30 14:17:15.977,2024-07-30 14:17:16.042,00:00:00,20240730,2024-07-30,1722320235.977
Ge-xCgFLTVW8a54OKitfsg,113.01380157470703,22.81194305419922,3.9,511,,413837924,,,2024-07-30 14:17:15.818,2024-07-30 14:17:15.888,00:00:00,20240730,2024-07-30,1722320235.818
-G8NMGRnRuyPkn3mRSJbZg,113.01397705078125,22.811912536621094,3.9,511,,413837924,,,2024-07-30 14:17:15.508,2024-07-30 14:17:15.567,00:00:00,20240730,2024-07-30,1722320235.508
eI-TeP56RUms9yBijwJEtw,113.88634490966797,22.46103858947754,0.0,511,,413841065,,,2024-07-30 14:16:51.651,2024-07-30 14:16:51.663,00:00:00,20240730,2024-07-30,1722320211.651
aLFPLfhCTkCNXhU4HMu-7w,113.01469421386719,22.811796188354492,3.8,511,,413837924,,,2024-07-30 14:16:40.330,2024-07-30 14:16:40.344,00:00:00,20240730,2024-07-30,1722320200.33
jSl0BlX8QLq7RIub8fWqMA,110.90067291259766,23.38039207458496,0.0,511,,413866992,,,2024-07-30 14:16:26.643,2024-07-30 14:16:26.660,00:00:00,20240730,2024-07-30,1722320186.643
pUWIzPMWQcefBbMB89rxHg,113.01490783691406,22.811765670776367,3.8,511,,413837924,,,2024-07-30 14:16:04.764,2024-07-30 14:16:04.800,00:00:00,20240730,2024-07-30,1722320164.764
MUHOpyZbS1iBizglK99Glg,113.01505279541016,22.811744689941406,3.8,511,,413837924,,,2024-07-30 14:15:55.548,2024-07-30 14:15:55.568,00:00:00,20240730,2024-07-30,1722320155.548
S1iHj9QfRZS-7IhwAJkGeQ,113.01525115966797,22.811721801757812,3.8,511,,413837924,,,2024-07-30 14:15:55.383,2024-07-30 14:15:55.413,00:00:00,20240730,2024-07-30,1722320155.383
UEJADg18To-OgXAUf7s9bg,113.01541137695312,22.81170082092285,3.8,511,,413837924,,,2024-07-30 14:15:45.899,2024-07-30 14:15:45.925,00:00:00,20240730,2024-07-30,1722320145.899
GgcszEOsTbWoFBEqDAVgIw,110.7416763305664,23.466360092163086,0.0,511,,413859423,,,2024-07-30 14:15:40.082,2024-07-30 14:15:40.108,00:00:00,20240730,2024-07-30,1722320140.082
KaS0rjpIT3mNJVvCYI499A,112.72119903564453,22.377704620361328,0.0,511,,413837923,,,2024-07-30 14:15:35.292,2024-07-30 14:15:35.315,00:00:00,20240730,2024-07-30,1722320135.292
CVWqvHroQZCBDfmzCFc9aA,110.90066528320312,23.380531311035156,0.0,511,,413867644,,,2024-07-30 14:15:30.633,2024-07-30 14:15:30.662,00:00:00,20240730,2024-07-30,1722320130.633
Qi5VQpWKT5yCmtrxEAwr3g,113.01560974121094,22.81167984008789,3.8,511,,413837924,,,2024-07-30 14:15:27.032,2024-07-30 14:15:27.071,00:00:00,20240730,2024-07-30,1722320127.032
wIiqWWgnTDaXzAxFiq95HQ,113.01578521728516,22.811660766601562,3.8,511,,413837924,,,2024-07-30 14:15:18.019,2024-07-30 14:15:18.031,00:00:00,20240730,2024-07-30,1722320118.019
